Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount
CTSH,Cognizant Technology Solutions Corporation,2019-05-22,05/22/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-05-17,05/17/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
DIS,The Walt Disney Company,2019-05-16,05/16/2019,SALE (PARTIAL),"$15,001 - $50,000",Senator,15001,50000,32500.5
FDX,FedEx Corporation,2019-05-15,05/15/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GLW,Corning Incorporated,2019-05-15,05/15/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AMT,American Tower Corporation (REIT),2019-05-15,05/15/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
OKE,"ONEOK, Inc.",2019-05-03,05/03/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
FDX,FedEx Corporation,2019-05-02,05/02/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
FDX,FedEx Corporation,2019-05-01,05/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
FDX,FedEx Corporation,2019-05-01,05/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
DOW,Dow Inc.,2019-05-30,05/30/2019,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5
GS,"The Goldman Sachs Group, Inc.",2019-05-15,05/15/2019,SALE (PARTIAL),"$50,001 - $100,000",Senator,50001,100000,75000.5
SHW,The Sherwin-Williams Company,2019-04-25,04/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
ISRG,"Intuitive Surgical, Inc.",2019-05-10,05/10/2019,SALE (FULL),"$15,001 - $50,000",Senator,15001,50000,32500.5
WY,Weyerhaeuser Company,2018-12-19,12/19/2018,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
GS,"The Goldman Sachs Group, Inc.",2018-12-19,12/19/2018,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
GOOG,Alphabet Inc.,2018-12-19,12/19/2018,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
GIS,"General Mills, Inc.",2018-12-19,12/19/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
CVS,CVS Health Corporation,2018-12-19,12/19/2018,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
